Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
51145094,07/08/2021 04:00:00 PM,07/08/2021 08:45:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10034,200 NAGLE AVENUE,NAGLE AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",07/08/2021 08:45:00 PM,12 MANHATTAN,MANHATTAN,1005446,253374,Unspecified,MANHATTAN,,,,,,,,40.86210236351487,-73.9233713087911,"(40.86210236351487, -73.9233713087911)"
45198238,12/19/2019 04:34:00 PM,12/19/2019 05:20:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10028,1020 PARK AVENUE,PARK AVENUE,E 85 ST,E 86 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",12/19/2019 05:20:00 PM,08 MANHATTAN,MANHATTAN,996001,223340,Unspecified,MANHATTAN,,,,,,,,40.77968515512973,-73.95756986550327,"(40.77968515512973, -73.95756986550327)"
18337233,07/23/2010 11:57:00 PM,07/24/2010 10:00:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10002,,,BROOME ST,ALLEN ST,BROOME STREET,ALLEN STREET,INTERSECTION,NEW YORK,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",07/24/2010 10:00:00 AM,03 MANHATTAN,MANHATTAN,986788,200976,Unspecified,MANHATTAN,,,,,,,,40.718309059514546,-73.99084431033397,"(40.718309059514546, -73.99084431033397)"
51140850,07/08/2021 06:02:00 PM,07/09/2021 03:15:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10030,101 EDGECOMBE AVENUE,EDGECOMBE AVENUE,W 139 ST,W 140 ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and referred it to another agency or utility for further action.,07/09/2021 03:15:00 AM,10 MANHATTAN,MANHATTAN,999216,237971,Unspecified,MANHATTAN,,,,,,,,40.8198383891247,-73.94592863911315,"(40.8198383891247, -73.94592863911315)"
50672478,05/25/2021 08:33:00 AM,05/25/2021 09:00:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10011,361 WEST   20 STREET,WEST   20 STREET,8 AVE,9 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/25/2021 09:00:00 AM,04 MANHATTAN,MANHATTAN,983838,210381,Unspecified,MANHATTAN,,,,,,,,40.744123833870574,-74.00148684229389,"(40.744123833870574, -74.00148684229389)"
50773517,06/04/2021 04:46:00 PM,06/05/2021 11:00:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10030,2538 FREDRICK DOUGLAS BOULEVARD,FREDRICK DOUGLAS BOULEVARD,W 135 ST,W 136 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",06/05/2021 11:00:00 AM,10 MANHATTAN,MANHATTAN,999082,236815,Unspecified,MANHATTAN,,,,,,,,40.816665720731464,-73.94641532872906,"(40.816665720731464, -73.94641532872906)"
50773545,06/04/2021 05:32:00 PM,06/05/2021 11:50:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10029,,,,,1 AVENUE,EAST 101 STREET,INTERSECTION,NEW YORK,,,Closed,,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,06/05/2021 11:50:00 AM,11 MANHATTAN,MANHATTAN,1000206,225798,Unspecified,MANHATTAN,,,,,,,,40.786425119593346,-73.9423807520361,"(40.786425119593346, -73.9423807520361)"
50813406,06/08/2021 08:15:00 PM,06/09/2021 09:00:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10019,,,,,WEST 52 STREET,8 AVENUE,INTERSECTION,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",06/09/2021 09:00:00 AM,04 MANHATTAN,MANHATTAN,988352,217457,Unspecified,MANHATTAN,,,,,,,,40.763544715600496,-73.98519221959798,"(40.763544715600496, -73.98519221959798)"
18497263,08/16/2010 07:38:00 PM,08/17/2010 08:45:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10007,,,CHAMBERS ST,WEST ST,CHAMBERS STREET,WEST STREET,INTERSECTION,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",08/17/2010 08:45:00 AM,01 MANHATTAN,MANHATTAN,980683,200563,Unspecified,MANHATTAN,,,,,,,,40.71717511862166,-74.01286752934263,"(40.71717511862166, -74.01286752934263)"
18559256,08/25/2010 06:47:00 AM,08/25/2010 12:00:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10007,,,CHAMBERS ST,WEST ST,CHAMBERS STREET,WEST STREET,INTERSECTION,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",08/25/2010 12:00:00 PM,01 MANHATTAN,MANHATTAN,980683,200563,Unspecified,MANHATTAN,,,,,,,,40.71717511862166,-74.01286752934263,"(40.71717511862166, -74.01286752934263)"
18559298,08/25/2010 09:51:00 AM,08/25/2010 11:15:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10065,,,FDR DR,E 61 ST,FDR DRIVE,EAST 61 STREET,INTERSECTION,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",08/25/2010 11:15:00 AM,08 MANHATTAN,MANHATTAN,995840,216037,Unspecified,MANHATTAN,,,,,,,,40.7596405355241,-73.95816379303211,"(40.7596405355241, -73.95816379303211)"
50162476,03/31/2021 09:05:00 AM,03/31/2021 03:15:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10012,304 MULBERRY STREET,MULBERRY STREET,E HOUSTON ST,BLEECKER ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",03/31/2021 03:15:00 PM,02 MANHATTAN,MANHATTAN,985730,203571,Unspecified,MANHATTAN,,,,,,,,40.72543194787553,-73.99466041410744,"(40.72543194787553, -73.99466041410744)"
45368374,01/11/2020 02:27:00 PM,01/15/2020 09:25:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10023,62 WEST   71 STREET,WEST   71 STREET,CENTRAL PARK W,COLUMBUS AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",01/15/2020 09:25:00 AM,07 MANHATTAN,MANHATTAN,990222,222125,Unspecified,MANHATTAN,,,,,,,,40.776356094489564,-73.97843757229006,"(40.776356094489564, -73.97843757229006)"
42852062,06/03/2019 09:28:00 AM,06/07/2019 11:00:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,,,,READE ST,ELK ST,READE ST,ELK ST,INTERSECTION,,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",06/07/2019 11:00:00 AM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,,,,,,,,,,
51012289,06/26/2021 08:58:00 AM,06/26/2021 11:25:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10003,140 EAST   17 STREET,EAST   17 STREET,IRVING PL,3 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",06/26/2021 11:25:00 AM,06 MANHATTAN,MANHATTAN,987870,207304,Unspecified,MANHATTAN,,,,,,,,40.735677501937694,-73.98693765328554,"(40.735677501937694, -73.98693765328554)"
50493957,05/07/2021 04:19:00 PM,05/07/2021 04:45:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10011,542 WEST   22 STREET,WEST   22 STREET,HIGH LINE,11 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",05/07/2021 04:45:00 PM,04 MANHATTAN,MANHATTAN,982550,211660,Unspecified,MANHATTAN,,,,,,,,40.74763421440936,-74.00613535215942,"(40.74763421440936, -74.00613535215942)"
18805648,10/01/2010 12:00:00 AM,10/01/2010 11:30:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10011,,,10 AVE,W 21 ST,10 AVENUE,WEST 21 STREET,INTERSECTION,NEW YORK,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",10/01/2010 11:30:00 AM,04 MANHATTAN,MANHATTAN,982835,211211,Unspecified,MANHATTAN,,,,,,,,40.74640187237436,-74.00510668394942,"(40.74640187237436, -74.00510668394942)"
18805649,10/01/2010 12:00:00 AM,10/01/2010 09:00:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10024,,,W 79 ST,BROADWAY,WEST 79 STREET,BROADWAY,INTERSECTION,NEW YORK,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,10/01/2010 09:00:00 AM,07 MANHATTAN,MANHATTAN,989792,224853,Unspecified,MANHATTAN,,,,,,,,40.78384401265165,-73.97998787457806,"(40.78384401265165, -73.97998787457806)"
18805664,10/01/2010 12:00:00 AM,10/01/2010 09:45:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10016,550 1 AVENUE,1 AVENUE,E 30 ST,E 33 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,10/01/2010 09:45:00 AM,06 MANHATTAN,MANHATTAN,991290,209715,Unspecified,MANHATTAN,,,,,,,,40.742293037645034,-73.97459446053105,"(40.742293037645034, -73.97459446053105)"
18805669,10/01/2010 12:00:00 AM,10/02/2010 11:30:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10031,,,12 AVE,W 138 ST,12 AVENUE,WEST 138 STREET,INTERSECTION,NEW YORK,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",10/02/2010 11:30:00 AM,09 MANHATTAN,MANHATTAN,996334,239155,Unspecified,MANHATTAN,,,,,,,,40.82309254678335,-73.95633901753999,"(40.82309254678335, -73.95633901753999)"
18805670,10/01/2010 07:42:00 PM,10/03/2010 03:01:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10009,,,E 2 ST,1 AVE,EAST 2 STREET,1 AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",10/03/2010 03:01:00 PM,03 MANHATTAN,MANHATTAN,987584,203018,Unspecified,MANHATTAN,,,,,,,,40.72391359257348,-73.98797177444611,"(40.72391359257348, -73.98797177444611)"
18773011,09/27/2010 12:00:00 AM,09/27/2010 05:45:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10021,368 EAST   69 STREET,EAST   69 STREET,2 AVE,1 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",09/27/2010 05:45:00 PM,08 MANHATTAN,MANHATTAN,995807,218436,Unspecified,MANHATTAN,,,,,,,,40.76622521526902,-73.95827878805295,"(40.76622521526902, -73.95827878805295)"
18858863,10/08/2010 12:00:00 AM,10/11/2010 11:00:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10031,,,AMSTERDAM AVE,W 148 ST,AMSTERDAM AVENUE,WEST 148 STREET,INTERSECTION,NEW YORK,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",10/11/2010 11:00:00 AM,09 MANHATTAN,MANHATTAN,999139,240636,Unspecified,MANHATTAN,,,,,,,,40.82715318728578,-73.9462009224613,"(40.82715318728578, -73.9462009224613)"
45070822,12/03/2019 11:57:00 AM,12/04/2019 09:00:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10011,,,,,WEST 20 STREET,8 AVENUE,INTERSECTION,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",12/04/2019 09:00:00 AM,04 MANHATTAN,MANHATTAN,984292,210126,Unspecified,MANHATTAN,,,,,,,,40.74342393208858,-73.9998484302905,"(40.74342393208858, -73.9998484302905)"
18839304,10/06/2010 11:50:00 AM,10/08/2010 01:00:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10024,135 WEST   82 STREET,WEST   82 STREET,COLUMBUS AVE,AMSTERDAM AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and found the repairs completed.,10/08/2010 01:00:00 PM,07 MANHATTAN,MANHATTAN,991126,225048,Unspecified,MANHATTAN,,,,,,,,40.784378298552866,-73.97517061002648,"(40.784378298552866, -73.97517061002648)"
18839296,10/06/2010 12:00:00 AM,10/07/2010 10:00:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10029,,,E 100 ST,2 AVE,EAST 100 STREET,2 AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",10/07/2010 10:00:00 AM,11 MANHATTAN,MANHATTAN,999417,225937,Unspecified,MANHATTAN,,,,,,,,40.78680802661814,-73.9452296218527,"(40.78680802661814, -73.9452296218527)"
50623274,05/20/2021 07:24:00 PM,05/21/2021 10:10:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10128,506 EAST   87 STREET,EAST   87 STREET,YORK AVE,EAST END AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",05/21/2021 10:10:00 AM,08 MANHATTAN,MANHATTAN,999156,222146,Unspecified,MANHATTAN,,,,,,,,40.7764031829702,-73.94618054392176,"(40.7764031829702, -73.94618054392176)"
45049897,11/30/2019 11:29:00 PM,12/01/2019 11:00:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10019,680 5 AVENUE,5 AVENUE,E 53 ST,E 54 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",12/01/2019 11:00:00 AM,05 MANHATTAN,MANHATTAN,991000,216422,Unspecified,MANHATTAN,,,,,,,,40.76070228168007,-73.97563426303094,"(40.76070228168007, -73.97563426303094)"
50355346,04/23/2021 01:55:00 PM,04/23/2021 02:15:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10035,403 EAST  118 STREET,EAST  118 STREET,1 AVE,PLEASANT AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",04/23/2021 02:15:00 PM,11 MANHATTAN,MANHATTAN,1002502,229711,Unspecified,MANHATTAN,,,,,,,,40.79716080348145,-73.93407895842479,"(40.79716080348145, -73.93407895842479)"
45109188,12/09/2019 01:09:00 PM,12/09/2019 02:20:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10025,2753 BROADWAY,BROADWAY,W 105 ST,W 106 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",12/09/2019 02:20:00 PM,07 MANHATTAN,MANHATTAN,993137,231183,Unspecified,MANHATTAN,,,,,,,,40.80121542295853,-73.96790072656121,"(40.80121542295853, -73.96790072656121)"
50392947,04/26/2021 06:36:00 PM,04/26/2021 07:35:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10026,,,,,7 AVENUE,WEST  114 STREET,INTERSECTION,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",04/26/2021 07:35:00 PM,10 MANHATTAN,MANHATTAN,997130,231440,Unspecified,MANHATTAN,,,,,,,,40.80191589919123,-73.95347777621474,"(40.80191589919123, -73.95347777621474)"
50404944,04/28/2021 03:19:00 PM,04/28/2021 06:35:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10012,222 THOMPSON STREET,THOMPSON STREET,BLEECKER ST,W 3 ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and referred it to another agency or utility for further action.,04/28/2021 06:35:00 PM,02 MANHATTAN,MANHATTAN,984518,204932,Unspecified,MANHATTAN,,,,,,,,40.72916768109087,-73.99903304781047,"(40.72916768109087, -73.99903304781047)"
50419420,04/29/2021 07:03:00 PM,04/29/2021 08:40:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10011,178 7 AVENUE,7 AVENUE,W 20 ST,W 21 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",04/29/2021 08:40:00 PM,04 MANHATTAN,MANHATTAN,985142,209808,Unspecified,MANHATTAN,,,,,,,,40.74255105656924,-73.9967809902477,"(40.74255105656924, -73.9967809902477)"
50426909,04/30/2021 09:12:00 AM,04/30/2021 09:30:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10019,721 9 AVENUE,9 AVENUE,W 49 ST,W 50 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",04/30/2021 09:30:00 AM,04 MANHATTAN,MANHATTAN,987200,217242,Unspecified,MANHATTAN,,,,,,,,40.76295505544353,-73.98935091044574,"(40.76295505544353, -73.98935091044574)"
48536426,12/31/2020 11:25:00 AM,12/31/2020 01:15:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10037,,,,,EAST  138 STREET,MADISON AVENUE,INTERSECTION,NEW YORK,,,Closed,,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,12/31/2020 01:15:00 PM,11 MANHATTAN,MANHATTAN,1002289,235866,Unspecified,MANHATTAN,,,,,,,,40.8140550153757,-73.93483171548912,"(40.8140550153757, -73.93483171548912)"
